"SCI_Name_updated","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Nocturnal"
"Colinus virginianus",14.9,8.6,7,8.4,29.6,109.8,30.3,79.4,27.6,56.8,171.9,0,0,0,0,0,0,0,0,70,30,0,0,100,0,0,0,0,0,0
"Columba livia",23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,10,0,0,0,0,0,0,0,60,30,0,0,80,20,0,0,0,0,0
"Columbina inca",16.1,7.1,3.5,3.8,15.5,92.5,24.2,69,26,88.7,47.5,0,0,0,0,0,0,20,0,80,0,0,0,100,0,0,0,0,0,0
"Columbina passerina",13.9,8.2,2.5,3.2,15.2,81.6,21.6,63.6,25.4,59.6,35.4,10,0,0,0,0,0,40,0,50,0,0,0,100,0,0,0,0,0,0
"Coragyps atratus",60,35,14.8,16.1,76.1,410.1,58.4,352.6,14.3,180,1881.7,0,10,10,10,0,70,0,0,0,0,0,0,100,0,0,0,0,0,0
"Corvus brachyrhynchos",49.9,33.2,13.9,16.6,55,293.5,106.9,186.2,36.5,167.1,448.8,20,10,10,10,0,20,20,0,10,0,0,0,80,20,0,0,0,0,0
"Corvus corax",77,49.2,21.9,27.9,67.1,419.7,167.2,252.7,39.8,228.7,928,10,20,10,10,0,20,10,0,10,10,0,0,80,0,10,0,10,0,0
"Corvus cryptoleucus",55.8,34.3,17.2,20.1,59.5,351.1,146.7,204.4,41.7,181.5,533.5,30,20,10,10,0,10,10,0,10,0,0,0,90,10,0,0,0,0,0
"Cyanocitta cristata",29.9,18.6,10.1,8.9,34.7,130,22.9,108.3,17.4,121.4,88,20,10,10,0,0,0,20,0,40,0,0,0,40,20,20,20,0,0,0
"Cyanocitta stelleri",33.7,21.1,10.2,9.5,43,145.8,20,125.8,13.7,133.2,128,20,20,0,0,20,0,20,0,20,0,0,0,40,20,20,20,0,0,0
"Cygnus buccinator",107.6,52.9,33.6,27.7,108.8,625.5,267,358.5,42.7,178,11071.1,10,0,0,0,0,0,0,0,20,70,0,100,0,0,0,0,0,0,0
"Cygnus columbianus",101.9,41.1,30.4,20,93.8,538.2,243.8,294.5,45.3,162.2,6378,0,0,0,0,0,0,0,0,0,100,0,50,50,0,0,0,0,0,0
"Cygnus olor",96.1,56.7,31,26.4,96.1,581.5,244.9,336.6,42.1,198.1,10682,10,0,10,0,0,0,0,0,0,80,0,100,0,0,0,0,0,0,0
"Dryocopus pileatus",52.1,37.4,14.6,11.9,29.3,228.4,56.4,166.6,25.3,167.3,286.6,70,0,0,0,0,0,20,0,10,0,0,0,20,30,30,20,0,0,0
"Dumetella carolinensis",19.2,11.1,4,4.8,27.4,90.7,16.8,73.4,18.6,90.3,35.3,60,0,0,0,0,0,40,0,0,0,0,0,0,80,20,0,0,0,0
"Egretta caerulea",78.1,60.6,9.5,12.6,92,257.8,98.3,160.2,38,88,338.6,60,0,30,10,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"Egretta rufescens",101.5,87,12.2,15.3,144.5,313.2,116.5,196.8,37.2,103,614,10,0,20,70,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"Egretta thula",86.3,69.2,9.4,12,93.3,252.8,79.8,167.3,31.9,110.3,371,50,0,30,20,0,0,0,0,0,0,0,70,30,0,0,0,0,0,0
"Egretta tricolor",102.7,83.7,9.6,13,96.8,248.8,87.4,158.9,35.5,94.5,372.3,20,10,10,60,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0
"Elanus leucurus",25.3,15.3,8.8,10.9,31.8,294,120.3,168.4,41.5,170.3,346,0,90,10,0,0,0,0,0,0,0,0,0,80,0,0,0,20,0,0
"Eudocimus albus",144.1,120.1,12.2,17,90.4,280.2,97.2,179.3,35.2,102.4,889.7,10,0,0,60,30,0,0,0,0,0,0,40,60,0,0,0,0,0,0
"Euphagus carolinus",23,15.3,5,6.6,30.2,114.4,32.1,82.6,28,90,59.6,100,0,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0,0,0
